@id,count
0022-0671,224
0022-0736,620
0022-0787,51
0022-0795,462
0022-0833,210
0022-0930,196
0022-0949,1792
0022-0957,1620
0022-0965,532
0022-0973,103
0022-0981,633
0022-1007,725
0022-1031,364
0022-1082,347
0022-1090,190
0022-1112,954
0022-1120,2304
0022-1139,733
0022-1147,1196
0022-1155,1187
0022-1198,971
0022-1201,277
0022-1236,871
0022-1260,135
0022-1295,328
0022-1309,60
0022-1317,770
0022-1325,93
0022-1333,409
0022-1341,114
0022-135X,243
0022-1376,111
0022-1430,339
0022-1465,116
0022-1481,642
0022-149X,292
0022-1503,374
0022-1511,270
0022-152X,1002
0022-1546,124
0022-1554,194
0022-166X,124
0022-1678,105
0022-1686,263
0022-1694,2476
0022-1759,522
0022-1767,3564
0022-1791,94
0022-1821,85
0022-1856,143
0022-1899,2315
0022-1910,431
0022-1953,423
0022-1996,279
0022-2011,436
0022-202X,3064
0022-2097,141
0022-2151,1630
0022-216X,425
0022-2186,110
0022-2194,126
0022-2267,148
0022-2275,701
0022-2291,698
0022-2313,2239
0022-2348,337
0022-2372,575
0022-2380,161
0022-2402,42
0022-2429,134
0022-2437,202
0022-2445,312
0022-2461,2736
0022-247X,3017
0022-2488,1437
0022-2496,150
0022-250X,49
0022-2518,202
0022-2526,119
0022-2585,709
0022-2593,444
0022-2615,613
0022-2623,2353
0022-2631,313
0022-2720,394
0022-278X,249
0022-2801,686
0022-281X,183
0022-2828,864
0022-2836,1173
0022-2844,166
0022-2852,464
0022-2860,2775
0022-2879,267
0022-2895,227
0022-2909,30
0022-2917,111
0022-2933,424
0022-2968,151
0022-2984,200
0022-300X,38
0022-3018,539
0022-3042,1270
0022-3050,2053
0022-3069,391
0022-3077,1681
0022-3085,1452
0022-3093,1432
0022-3115,2298
0022-3131,530
0022-314X,867
0022-3166,981
0022-3174,44
0022-3239,526
0022-3263,4200
0022-328X,1641
0022-3344,205
0022-3360,325
0022-3395,363
0022-3417,542
0022-3433,171
0022-3468,1511
0022-3476,2683
0022-3484,266
0022-3492,669
0022-3506,202
0022-3514,479
0022-3530,238
0022-3549,1337
0022-3565,20
0022-3573,478
0022-3611,103
0022-362X,136
0022-3646,345
0022-3670,581
0022-3697,733
0022-3727,2898
0022-3751,1653
0022-3778,400
0022-3808,156
0022-3816,363
0022-3840,377
0022-3859,267
0022-3891,230
0022-3913,1062
0022-3956,769
0022-3980,144
0022-3999,988
0022-4006,134
0022-4049,703
0022-4073,1018
0022-4146,227
0022-4189,362
0022-4197,524
0022-4200,98
0022-4227,293
0022-4278,105
0022-4294,112
0022-4308,231
0022-4359,145
0022-4367,165
0022-4375,210
0022-4391,338
0022-4405,137
0022-4480,175
0022-4499,280
0022-4502,51
0022-4510,422
0022-4529,443
0022-4537,152
0022-4545,199
0022-4561,228
0022-457X,27
0022-4596,1414
0022-460X,1689
0022-4634,195
0022-4650,475
0022-4669,51
0022-4715,794
0022-474X,264
0022-4766,714
0022-4790,949
0022-4804,2743
0022-4812,231
0022-4871,106
0022-4898,123
0022-4901,185
0022-4928,829
0022-4995,69
0022-5002,161
0022-5010,87
0022-5045,154
0022-5061,186
0022-5096,635
0022-510X,3461
0022-5142,1598
0022-5185,602
0022-5193,1459
0022-5223,3751
0022-5231,6
0022-5266,79
0022-5347,12064
0022-5363,172
0022-538X,3472
0022-541X,538
0022-6882,740
0022-6920,360
0022-6971,16
0022-7498,23
